rxn_id,source_id,rxn_type,temperature_degC,time_h,atmosphere,scale_mol,concentration_moll,stmat_1_smiles,stmat_1_eq,reagent_1_smiles,reagent_1_eq,reagent_2_smiles,reagent_2_eq,reagent_3_smiles,reagent_3_eq,reagent_4_smiles,reagent_4_eq,catalyst_1_smiles,catalyst_1_eq,catalyst_2_smiles,catalyst_2_eq,ligand_1_smiles,ligand_1_eq,ligand_2_smiles,ligand_2_eq,additive_1_smiles,additive_1_eq,solvent_1_smiles,solvent_1_fraction,solvent_2_smiles,solvent_2_fraction,product_1_smiles,product_1_yield,product_1_yieldtype,product_2_smiles,product_2_yield,product_2_yieldtype
0,10.1039/c7ob01192j,,,,,,,C1(C2=CC=CC=C2)=NC=CC=C1,,,CCOC(CBr)=O,,,,,,,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,,,,O=C(O)C1=C(C)C=C(C)C=C1C,,C1COCCO1,,,,CC(O1)(C)C(C)(C)OB1C2=CC(C3=NC=CC=C3)=CC=C2,0.57,,,,
1,10.1039/c7ob01192j,,,,,,,C1(C2=CC=CC=C2)=NC=CC=C1,,,CCOC(CBr)=O,,,,,,,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,,FC(C=C1)=CC=C1P(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3,,,,O=C(O)C1=C(C)C=C(C)C=C1C,,C1COCCO1,,,,CC(O1)(C)C(C)(C)OB1C2=CC(C3=NC=CC=C3)=CC=C2,0.38,,,,
2,10.1039/c7ob01192j,,,,,,,C1(C2=CC=CC=C2)=NC=CC=C1,,,CCOC(CBr)=O,,,,,,,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,,,,,,,,C1COCCO1,,,,CC(O1)(C)C(C)(C)OB1C2=CC(C3=NC=CC=C3)=CC=C2,0.21,,,,
3,10.1039/c7ob01192j,,,,,,,C1(C2=CC=CC=C2)=NC=CC=C1,,,CCOC(CBr)=O,,,,,,,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,,,,,,O=C(O)C1=C(C)C=C(C)C=C1C,,C1COCCO1,,,,CC(O1)(C)C(C)(C)OB1C2=CC(C3=NC=CC=C3)=CC=C2,0.26,,,,
4,10.1039/c7ob01192j,,,,,,,C1(C2=CC=CC=C2)=NC=CC=C1,,,CCOC(CBr)=O,,,,,,,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,,,,,,CC(O[K])=O,,C1COCCO1,,,,CC(O1)(C)C(C)(C)OB1C2=CC(C3=NC=CC=C3)=CC=C2,0.24,,,,
5,10.1039/c7ob01192j,,,,,,,C1(C2=CC=CC=C2)=NC=CC=C1,,,CCOC(CBr)=O,,,,,,,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,,,,,,O=C(O)C12C[C@H]3C[C@H](C[C@H](C3)C2)C1,,C1COCCO1,,,,CC(O1)(C)C(C)(C)OB1C2=CC(C3=NC=CC=C3)=CC=C2,0.15,,,,
6,10.1039/c7ob01192j,,,,,,,COC1=CC(C2=CC=CC=C2)=NC=C1,,,CCOC(CBr)=O,,,,,,,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,,,,O=C(O)C1=C(C)C=C(C)C=C1C,,C1COCCO1,,,,CC(O1)(C)C(C)(C)OB1C2=CC(C3=NC=CC(OC)=C3)=CC=C2,0.36,,,,
7,10.1039/c7ob01192j,,,,,,,CC1=CC(C2=CC=CC=C2)=NC=C1,,,CCOC(CBr)=O,,,,,,,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,,,,O=C(O)C1=C(C)C=C(C)C=C1C,,C1COCCO1,,,,CC(O1)(C)C(C)(C)OB1C2=CC(C3=NC=CC(C)=C3)=CC=C2,0.67,,,,
8,10.1039/c7ob01192j,,,,,,,FC1=CC(C2=CC=CC=C2)=NC=C1,,,CCOC(CBr)=O,,,,,,,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,,,,O=C(O)C1=C(C)C=C(C)C=C1C,,C1COCCO1,,,,CC(O1)(C)C(C)(C)OB1C2=CC(C3=NC=CC(F)=C3)=CC=C2,0.48,,,,
9,10.1039/c7ob01192j,,,,,,,ClC1=CC(C2=CC=CC=C2)=NC=C1,,,CCOC(CBr)=O,,,,,,,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,,,,O=C(O)C1=C(C)C=C(C)C=C1C,,C1COCCO1,,,,CC(O1)(C)C(C)(C)OB1C2=CC(C3=NC=CC(Cl)=C3)=CC=C2,0.45,,,,
