,reaction_id,rxn_smiles,products_run
1,0,[Br:1][CH2:7][C:5]([O:4][CH2:3][CH3:2])=[O:6].[cH:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1-[c:14]1[cH:15][cH:16][cH:17][cH:18][n:19]1>O=C(C1=C(C=C(C=C1C)C)C)O.CC2=CC=C(C=C2)C(C)C.CC3=CC=C(C=C3)C(C)C.P(C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6.C7COCCO7.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-]>[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][c:12](-[c:13]2[cH:14][cH:15][cH:16][cH:17][n:18]2)[cH:19]1,[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][c:12](-[c:13]2[cH:14][cH:15][cH:16][cH:17][n:18]2)[cH:19]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1-[c:14]1[cH:15][cH:16][cH:17][cH:18][n:19]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][c:11](-[c:12]2[cH:13][cH:14][cH:15][cH:16][n:17]2)[cH:18][cH:19]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1-[c:14]1[cH:15][cH:16][cH:17][cH:18][n:19]1
2,1,[Br:1][CH2:7][C:5]([O:4][CH2:3][CH3:2])=[O:6].[cH:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1-[c:14]1[cH:15][cH:16][cH:17][cH:18][n:19]1>O=C(C1=C(C=C(C=C1C)C)C)O.CC2=CC=C(C=C2)C(C)C.CC3=CC=C(C=C3)C(C)C.P(C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6.C7COCCO7.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-]>[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][c:12](-[c:13]2[cH:14][cH:15][cH:16][cH:17][n:18]2)[cH:19]1,[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][c:12](-[c:13]2[cH:14][cH:15][cH:16][cH:17][n:18]2)[cH:19]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1-[c:14]1[cH:15][cH:16][cH:17][cH:18][n:19]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][c:11](-[c:12]2[cH:13][cH:14][cH:15][cH:16][n:17]2)[cH:18][cH:19]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1-[c:14]1[cH:15][cH:16][cH:17][cH:18][n:19]1
3,2,[Br:1][CH2:7][C:5]([O:4][CH2:3][CH3:2])=[O:6].[cH:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1-[c:14]1[cH:15][cH:16][cH:17][cH:18][n:19]1>CC1=CC=C(C=C1)C(C)C.CC2=CC=C(C=C2)C(C)C.C3COCCO3.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-]>[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][c:12](-[c:13]2[cH:14][cH:15][cH:16][cH:17][n:18]2)[cH:19]1,[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][c:12](-[c:13]2[cH:14][cH:15][cH:16][cH:17][n:18]2)[cH:19]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1-[c:14]1[cH:15][cH:16][cH:17][cH:18][n:19]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][c:11](-[c:12]2[cH:13][cH:14][cH:15][cH:16][n:17]2)[cH:18][cH:19]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1-[c:14]1[cH:15][cH:16][cH:17][cH:18][n:19]1
4,3,[Br:1][CH2:7][C:5]([O:4][CH2:3][CH3:2])=[O:6].[cH:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1-[c:14]1[cH:15][cH:16][cH:17][cH:18][n:19]1>CC1=CC=C(C=C1)C(C)C.CC2=CC=C(C=C2)C(C)C.O=C(C3=C(C=C(C=C3C)C)C)O.C4COCCO4.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-]>[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][c:12](-[c:13]2[cH:14][cH:15][cH:16][cH:17][n:18]2)[cH:19]1,[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][c:12](-[c:13]2[cH:14][cH:15][cH:16][cH:17][n:18]2)[cH:19]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1-[c:14]1[cH:15][cH:16][cH:17][cH:18][n:19]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][c:11](-[c:12]2[cH:13][cH:14][cH:15][cH:16][n:17]2)[cH:18][cH:19]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1-[c:14]1[cH:15][cH:16][cH:17][cH:18][n:19]1
5,4,[Br:1][CH2:7][C:5]([O:4][CH2:3][CH3:2])=[O:6].[cH:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1-[c:14]1[cH:15][cH:16][cH:17][cH:18][n:19]1>CC(O[K])=O.CC1=CC=C(C=C1)C(C)C.CC2=CC=C(C=C2)C(C)C.C3COCCO3.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-]>[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][c:12](-[c:13]2[cH:14][cH:15][cH:16][cH:17][n:18]2)[cH:19]1,[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][c:12](-[c:13]2[cH:14][cH:15][cH:16][cH:17][n:18]2)[cH:19]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1-[c:14]1[cH:15][cH:16][cH:17][cH:18][n:19]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][c:11](-[c:12]2[cH:13][cH:14][cH:15][cH:16][n:17]2)[cH:18][cH:19]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1-[c:14]1[cH:15][cH:16][cH:17][cH:18][n:19]1
6,5,[Br:1][CH2:7][C:5]([O:4][CH2:3][CH3:2])=[O:6].[cH:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1-[c:14]1[cH:15][cH:16][cH:17][cH:18][n:19]1>O=C(C12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)O.CC4=CC=C(C=C4)C(C)C.CC5=CC=C(C=C5)C(C)C.C6COCCO6.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-]>[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][c:12](-[c:13]2[cH:14][cH:15][cH:16][cH:17][n:18]2)[cH:19]1,[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][c:12](-[c:13]2[cH:14][cH:15][cH:16][cH:17][n:18]2)[cH:19]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1-[c:14]1[cH:15][cH:16][cH:17][cH:18][n:19]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][c:11](-[c:12]2[cH:13][cH:14][cH:15][cH:16][n:17]2)[cH:18][cH:19]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1-[c:14]1[cH:15][cH:16][cH:17][cH:18][n:19]1
7,6,[Br:1][CH2:7][C:5]([O:4][CH2:3][CH3:2])=[O:6].[cH:8]1[cH:9][cH:10][cH:11][c:12](-[c:13]2[cH:14][c:15]([O:16][CH3:17])[cH:18][cH:19][n:20]2)[cH:21]1>O=C(C1=C(C=C(C=C1C)C)C)O.CC2=CC=C(C=C2)C(C)C.CC3=CC=C(C=C3)C(C)C.P(C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6.C7COCCO7.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-]>[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][c:12](-[c:13]2[cH:14][c:15]([O:16][CH3:17])[cH:18][cH:19][n:20]2)[cH:21]1,[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][c:11](-[c:12]2[cH:13][c:14]([O:15][CH3:16])[cH:17][cH:18][n:19]2)[cH:20]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][c:11](-[c:12]2[cH:13][c:14]([O:15][CH3:16])[cH:17][cH:18][n:19]2)[cH:20][cH:21]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1-[c:14]1[cH:15][c:16]([O:17][CH3:18])[cH:19][cH:20][n:21]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1-[c:14]1[cH:15][c:16]([O:17][CH3:18])[cH:19][cH:20][n:21]1
8,7,[Br:1][CH2:7][C:5]([O:4][CH2:3][CH3:2])=[O:6].[cH:8]1[cH:9][cH:10][cH:11][c:12](-[c:13]2[cH:14][c:15]([CH3:16])[cH:17][cH:18][n:19]2)[cH:20]1>O=C(C1=C(C=C(C=C1C)C)C)O.CC2=CC=C(C=C2)C(C)C.CC3=CC=C(C=C3)C(C)C.P(C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6.C7COCCO7.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-]>[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][c:12](-[c:13]2[cH:14][c:15]([CH3:16])[cH:17][cH:18][n:19]2)[cH:20]1,[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][c:12](-[c:13]2[cH:14][c:15]([CH3:16])[cH:17][cH:18][n:19]2)[cH:20]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][c:11](-[c:12]2[cH:13][c:14]([CH3:15])[cH:16][cH:17][n:18]2)[cH:19][cH:20]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1-[c:14]1[cH:15][c:16]([CH3:17])[cH:18][cH:19][n:20]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1-[c:14]1[cH:15][c:16]([CH3:17])[cH:18][cH:19][n:20]1
9,8,[Br:1][CH2:7][C:5]([O:4][CH2:3][CH3:2])=[O:6].[cH:8]1[cH:9][cH:10][cH:11][c:12](-[c:13]2[cH:14][c:15]([F:16])[cH:17][cH:18][n:19]2)[cH:20]1>O=C(C1=C(C=C(C=C1C)C)C)O.CC2=CC=C(C=C2)C(C)C.CC3=CC=C(C=C3)C(C)C.P(C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6.C7COCCO7.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-]>[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][c:12](-[c:13]2[cH:14][c:15]([F:16])[cH:17][cH:18][n:19]2)[cH:20]1,[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][c:12](-[c:13]2[cH:14][c:15]([F:16])[cH:17][cH:18][n:19]2)[cH:20]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1-[c:14]1[cH:15][c:16]([F:17])[cH:18][cH:19][n:20]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][c:11](-[c:12]2[cH:13][c:14]([F:15])[cH:16][cH:17][n:18]2)[cH:19][cH:20]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1-[c:14]1[cH:15][c:16]([F:17])[cH:18][cH:19][n:20]1
10,9,[Br:1][CH2:7][C:5]([O:4][CH2:3][CH3:2])=[O:6].[cH:8]1[cH:9][cH:10][cH:11][c:12](-[c:13]2[cH:14][c:15]([Cl:16])[cH:17][cH:18][n:19]2)[cH:20]1>O=C(C1=C(C=C(C=C1C)C)C)O.CC2=CC=C(C=C2)C(C)C.CC3=CC=C(C=C3)C(C)C.P(C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6.C7COCCO7.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-]>[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][c:12](-[c:13]2[cH:14][c:15]([Cl:16])[cH:17][cH:18][n:19]2)[cH:20]1,[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][c:12](-[c:13]2[cH:14][c:15]([Cl:16])[cH:17][cH:18][n:19]2)[cH:20]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1-[c:14]1[cH:15][c:16]([Cl:17])[cH:18][cH:19][n:20]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][c:11](-[c:12]2[cH:13][c:14]([Cl:15])[cH:16][cH:17][n:18]2)[cH:19][cH:20]1.[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1-[c:14]1[cH:15][c:16]([Cl:17])[cH:18][cH:19][n:20]1
