number,DG_num,RX_num,DG,RX,catalyst,ligand,solvent,addictive,tag,m/(m+o),m/(m+p),yield,notation,DOI,,,
0,1,1,C1(C2=CC=CC=C2)=NC=CC=C1,CCOC(CBr)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,0.95238,,0.57,,10.1039/c7ob01192j,,,
1,1,1,C1(C2=CC=CC=C2)=NC=CC=C1,CCOC(CBr)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],FC(C=C1)=CC=C1P(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,0.9375,,0.38,,10.1039/c7ob01192j,,,
2,1,1,C1(C2=CC=CC=C2)=NC=CC=C1,CCOC(CBr)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,C1COCCO1,,1,0.71429,,0.21,,10.1039/c7ob01192j,,,
3,1,1,C1(C2=CC=CC=C2)=NC=CC=C1,CCOC(CBr)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,0.69697,,0.26,,10.1039/c7ob01192j,,,
4,1,1,C1(C2=CC=CC=C2)=NC=CC=C1,CCOC(CBr)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,C1COCCO1,CC(O[K])=O,1,0.66667,,0.24,,10.1039/c7ob01192j,,,
5,1,1,C1(C2=CC=CC=C2)=NC=CC=C1,CCOC(CBr)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,C1COCCO1,O=C(O)C12C[C@H]3C[C@H](C[C@H](C3)C2)C1,1,0.66667,,0.15,,10.1039/c7ob01192j,,,
6,2,1,COC1=CC(C2=CC=CC=C2)=NC=C1,CCOC(CBr)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.36,,10.1039/c7ob01192j,,,
7,3,1,CC1=CC(C2=CC=CC=C2)=NC=C1,CCOC(CBr)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.67,,10.1039/c7ob01192j,,,
8,4,1,FC1=CC(C2=CC=CC=C2)=NC=C1,CCOC(CBr)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.48,,10.1039/c7ob01192j,,,
9,5,1,ClC1=CC(C2=CC=CC=C2)=NC=C1,CCOC(CBr)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.45,,10.1039/c7ob01192j,,,
10,6,1,O=C(C1=CC(C2=CC=CC=C2)=NC=C1)OC,CCOC(CBr)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.31,,10.1039/c7ob01192j,,,
11,7,1,N1(C2=CC=CC=C2)C=CC=N1,CCOC(CBr)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.52,,10.1039/c7ob01192j,,,
12,8,1,CC1=CN=C(C2=CC=CC=C2)C=C1,CCOC(CBr)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.62,,10.1039/c7ob01192j,,,
13,9,1,FC1=CN=C(C2=CC=CC=C2)C=C1,CCOC(CBr)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.6,,10.1039/c7ob01192j,,,
14,10,1,C1(C2=CC=CC=C2)=NC=CC=N1,CCOC(CBr)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.76,,10.1039/c7ob01192j,,,
15,11,1,CC1=CC=NC(C2=CC=CC=C2)=N1,CCOC(CBr)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.83,,10.1039/c7ob01192j,,,
